Order.ID,Order.Date,Ship.Date,Ship.Mode,Customer.ID,Customer.Name,Segment,Country,City,State,Region,Category,Sub.Category,Product.Name,Sales,Quantity,Discount,Profit
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.9136
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,South,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,731.94,3,0,219.582
CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,West,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Furniture,Furnishings,Eldon Expressions Wood and Plastic Desk Accessories,48.86,7,0,14.1694
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Office Supplies,Art,Newell 322,7.28,4,0,1.9656
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,114.9,5,0,34.47
CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,South,Furniture,Furnishings,Ultra Commercial Grade Dual Valve Door Closer,71.372,3,0,15.5022
CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,West,Office Supplies,Storage,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0,132.5922
US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,Appliances,Holmes HEPA Air Purifier,68.81,5,0.8,-123.858
CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,Central,Office Supplies,Binders,Cardinal Slant-D Ring Binder Heavy Gauge Vinyl,11.648,2,0,4.2224
CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,West,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011
CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,Office Supplies,Paper,Easy-staple paper,15.552,3,0.2,5.4432
CA-2017-137330,2017-12-09,2017-12-13,Standard Class,KB-16315,Ken Black,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Appliances,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,91.056,2,0.7,-18.9618
CA-2017-137330,2017-12-09,2017-12-13,Standard Class,KB-16315,Ken Black,Corporate,United States,Fremont,Nebraska,Central,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,258.576,2,0.2,19.3932
CA-2017-137330,2017-12-09,2017-12-13,Standard Class,KB-16315,Ken Black,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,19.536,3,0.2,5.8608
US-2016-156909,2016-07-16,2016-07-18,First Class,KB-16315,Ken Black,Corporate,United States,Fremont,Nebraska,Central,Technology,Accessories,Belkin 325VA UPS Surge Protector 6 Outlets,114.9,3,0,34.47
CA-2015-106320,2015-09-25,2015-09-30,Standard Class,RR-19615,Rick Reed,Consumer,United States,Columbus,Ohio,East,Office Supplies,Appliances,Hamilton Beach Refrigerator Red,275.472,3,0.6,-88.5504
CA-2014-121755,2014-01-16,2014-01-20,Second Class,KB-16600,Ken Brennan,Consumer,United States,Houston,Texas,Central,Technology,Accessories,Logitech Wireless Gaming Headset G930,250.344,3,0.2,30.0413
CA-2017-119914,2017-05-05,2017-05-10,Second Class,SC-20770,Sandra Chinn,Consumer,United States,San Antonio,Texas,Central,Furniture,Chairs,Global Deluxe Stacking Chair Black,90.57,3,0,13.5855
CA-2015-145316,2015-09-17,2015-09-19,First Class,BF-11020,Brian Ferguson,Consumer,United States,Houston,Texas,Central,Office Supplies,Envelopes,Recycled Interoffice Envelopes with String and Button Closure,11.104,4,0,5.108
